title	author	year
Little Dorrit	Charles Dickens	1857
Oliver Twist	Charles Dickens	1839
The Life and Adventures of Nicholas Nickleby	Charles Dickens	1839
The Mystery of Edwin Drood	Charles Dickens	1870
The Pickwick Papers	Charles Dickens	1836
Jane Eyre	Charlotte Bronte	1847
Villette	Charlotte Bronte	1853
Cranford	Elizabeth Gaskell	1853
Mary Barton	Elizabeth Gaskell	1848
North and South	Elizabeth Gaskell	1854
Agnes Grey	Anne Bronte	1847
Adam Bede	George Eliot	1859
Daniel Deronda	George Eliot	1876
Middlemarch	George Eliot	1872
Silas Marner	George Eliot	1861
The Mill on the Floss	George Eliot	1860
Emma	Jane Austen	1815
Mansfield Park	Jane Austen	1814
Persuasion	Jane Austen	1818
Pride and Prejudice	Jane Austen	1813
The Picture of Dorian Gray	Oscar Wilde	1890
The Tenant of Wildfell Hall	Anne Bronte	1848
Sartor Resartus	Thomas Carlyle	1834
Old Mortality	Walter Scott	1816
Redgauntlet	Walter Scott	1824
The Heart of Midlothian	Walter Scott	1818
Waverley	Walter Scott	1814
No Name	Wilkie Collins	1862
The Moonstone	Wilkie Collins	1868
The Woman in White	Wilkie Collins	1859
The History of Henry Esmond	William Makepeace Thackeray	1852
Vanity Fair	William Makepeace Thackeray	1847
Dracula	Bram Stoker	1897
The Well at the World's end	William Morris	1896
The Narrative of Arthur Gordon Pym	Edgar Allan Poe	1838
The Ambassadors	Henry James	1903
The Awkward Age	Henry James	1899
The Bostonians	Henry James	1886
The Golden Bowl	Henry James	1904
The Portrait of a Lady	Henry James	1881
The Wings of Dove	Henry James	1902
Moby Dick	Herman Melville	1851
The Deerslayers	James Fenimore Cooper	1841
A Christmas Carol	Charles Dickens	1843
Little Women	Louisa May Alcott	1868
Puddnhead Wilson	Mark Twain	1893
The Adventures of Finn	Mark Twain	1884
The Mysterious Stranger	Mark Twain	1916
The Marble Faun	Nathaniel Hawthorne	1859
The Scarlet Letter	Nathaniel Hawthorne	1850
Walden	Henry David Thoreau	1854
A Conneticut Yankee in King Arthurs	Mark Twain	1889
Babbitt	Sinclair Lewis	1922
A Tale of Two Cities	Charles Dickens	1859
Sister Carrie	Theodore Dreiser	1900
My Antonia	Willa Cather	1918
The Old Wives Tale	Arnold Bennett	1908
Portrait of the Artist as a Young Man	James Joyce	1916
Ulysses	James Joyce	1922
Lord Jim	Joseph Conrad	1900
Nostromo	Joseph Conrad	1904
The Secret Agent	Joseph Conrad	1907
Under Western Eyes	Joseph Conrad	1911
Victory: An Island Tale	Joseph Conrad	1915
Bleak House	Charles Dickens	1853
The Rainbow	D. H. Lawrence	1915
Women in Love	D. H. Lawrence	1920
Kim	Rudyard Kipling	1901
Puck of Pooks Hill	Rudyard Kipling	1906
Jude the Obscure	Thomas Hardy	1895
Tess of the dUrbervilles	Thomas Hardy	1891
The Mayor of Casterbridge	Thomas Hardy	1886
The Return of the Native	Thomas Hardy	1878
David Copperfield	Charles Dickens	1850
Great Expectations	Charles Dickens	1860
Hard Times	Charles Dickens	1854
